abbrev,measDate,value,measUnit
CLAFTCCO,2021-12-13,40,cfs
CLAFTCCO,2021-12-14,66,cfs
CLAFTCCO,2021-12-15,73,cfs
CLAFTCCO,2021-12-16,40,cfs
CLAFTCCO,2021-12-17,35,cfs
CLAFTCCO,2021-12-18,35,cfs
CLAFTCCO,2021-12-19,45,cfs
CLAFTCCO,2021-12-20,65,cfs
CLAFTCCO,2021-12-21,69,cfs
CLAFTCCO,2021-12-22,59,cfs
CLAFTCCO,2021-12-23,54,cfs
CLAFTCCO,2021-12-24,45,cfs
CLAFTCCO,2021-12-25,35,cfs
CLAFTCCO,2021-12-26,45,cfs
CLAFTCCO,2021-12-27,45,cfs
CLAFTCCO,2021-12-28,40,cfs
CLAFTCCO,2021-12-29,35,cfs
CLAFTCCO,2021-12-30,40,cfs
CLAFTCCO,2021-12-31,40,cfs
CLAFTCCO,2022-01-01,35,cfs
CLAFTCCO,2022-01-02,40,cfs
CLAFTCCO,2022-01-03,40,cfs
CLAFTCCO,2022-01-04,45,cfs
CLAFTCCO,2022-01-05,40,cfs
CLAFTCCO,2022-01-06,35,cfs
CLAFTCCO,2022-01-07,45,cfs
CLAFTCCO,2022-01-08,55,cfs
CLAFTCCO,2022-01-09,50,cfs
CLAFTCCO,2022-01-10,60,cfs
CLAFTCCO,2022-01-11,65,cfs
CLAFTCCO,2022-01-12,65,cfs
CLAFTCCO,2022-01-13,65,cfs
CLAFTCCO,2022-01-14,60,cfs
CLAFTCCO,2022-01-15,60,cfs
CLAFTCCO,2022-01-16,55,cfs
CLAFTCCO,2022-01-17,55,cfs
CLAFTCCO,2022-01-18,55,cfs
CLAFTCCO,2022-01-19,50,cfs
CLAFTCCO,2022-01-20,40,cfs
CLAFTCCO,2022-01-21,50,cfs
CLAFTCCO,2022-01-22,50,cfs
CLAFTCCO,2022-01-23,55,cfs
CLAFTCCO,2022-01-24,60,cfs
CLAFTCCO,2022-01-25,50,cfs
CLAFTCCO,2022-01-26,45,cfs
CLAFTCCO,2022-01-27,50,cfs
CLAFTCCO,2022-01-28,55,cfs
CLAFTCCO,2022-01-29,60,cfs
CLAFTCCO,2022-01-30,60,cfs
CLAFTCCO,2022-01-31,60,cfs
CLAFTCCO,2022-02-01,55,cfs
CLAFTCCO,2022-02-02,45,cfs
CLAFTCCO,2022-02-03,40,cfs
CLAFTCCO,2022-02-04,45,cfs
CLAFTCCO,2022-02-05,55,cfs
CLAFTCCO,2022-02-06,50,cfs
CLAFTCCO,2022-02-07,55,cfs
CLAFTCCO,2022-02-08,65,cfs
CLAFTCCO,2022-02-09,60,cfs
CLAFTCCO,2022-02-10,65,cfs
CLAFTCCO,2022-02-11,60,cfs
CLAFTCCO,2022-02-12,50,cfs
CLAFTCCO,2022-02-13,65,cfs
CLAFTCCO,2022-02-14,70,cfs
CLAFTCCO,2022-02-15,70,cfs
CLAFTCCO,2022-02-16,65,cfs
CLAFTCCO,2022-02-17,55,cfs
CLAFTCCO,2022-02-18,60,cfs
CLAFTCCO,2022-02-19,65,cfs
CLAFTCCO,2022-02-20,70,cfs
CLAFTCCO,2022-02-21,55,cfs
CLAFTCCO,2022-02-22,45,cfs
CLAFTCCO,2022-02-23,35,cfs
CLAFTCCO,2022-02-24,40,cfs
CLAFTCCO,2022-02-25,45,cfs
CLAFTCCO,2022-02-26,50,cfs
CLAFTCCO,2022-02-27,60,cfs
CLAFTCCO,2022-02-28,70,cfs
CLAFTCCO,2022-03-01,75,cfs
CLAFTCCO,2022-03-02,75,cfs
CLAFTCCO,2022-03-03,75,cfs
CLAFTCCO,2022-03-04,77,cfs
CLAFTCCO,2022-03-05,82,cfs
CLAFTCCO,2022-03-06,70,cfs
CLAFTCCO,2022-03-07,55,cfs
CLAFTCCO,2022-03-08,55,cfs
CLAFTCCO,2022-03-09,50,cfs
CLAFTCCO,2022-03-10,45,cfs
CLAFTCCO,2022-03-11,55,cfs
CLAFTCCO,2022-03-12,70,cfs
CLAFTCCO,2022-03-13,74,cfs
CLAFTCCO,2022-03-14,63,cfs
CLAFTCCO,2022-03-15,64,cfs
CLAFTCCO,2022-03-16,67,cfs
CLAFTCCO,2022-03-17,65,cfs
CLAFTCCO,2022-03-18,51,cfs
CLAFTCCO,2022-03-19,54,cfs
CLAFTCCO,2022-03-20,62,cfs
CLAFTCCO,2022-03-21,60,cfs
CLAFTCCO,2022-03-22,57,cfs
CLAFTCCO,2022-03-23,54,cfs
CLAFTCCO,2022-03-24,64,cfs
CLAFTCCO,2022-03-25,71,cfs
CLAFTCCO,2022-03-26,78,cfs
CLAFTCCO,2022-03-27,95,cfs
CLAFTCCO,2022-03-28,116,cfs
CLAFTCCO,2022-03-29,122,cfs
CLAFTCCO,2022-03-30,125,cfs
CLAFTCCO,2022-03-31,108,cfs
CLAFTCCO,2022-04-01,106,cfs
CLAFTCCO,2022-04-02,102,cfs
CLAFTCCO,2022-04-03,104,cfs
CLAFTCCO,2022-04-04,108,cfs
CLAFTCCO,2022-04-05,113,cfs
CLAFTCCO,2022-04-06,111,cfs
CLAFTCCO,2022-04-07,98,cfs
CLAFTCCO,2022-04-08,121,cfs
CLAFTCCO,2022-04-09,132,cfs
CLAFTCCO,2022-04-10,153,cfs
CLAFTCCO,2022-04-11,138,cfs
CLAFTCCO,2022-04-12,155,cfs
CLAFTCCO,2022-04-13,117,cfs
CLAFTCCO,2022-04-14,101,cfs
CLAFTCCO,2022-04-15,119,cfs
CLAFTCCO,2022-04-16,115,cfs
CLAFTCCO,2022-04-17,110,cfs
CLAFTCCO,2022-04-18,107,cfs
CLAFTCCO,2022-04-19,114,cfs
CLAFTCCO,2022-04-20,152,cfs
CLAFTCCO,2022-04-21,193,cfs
CLAFTCCO,2022-04-22,215,cfs
CLAFTCCO,2022-04-23,251,cfs
CLAFTCCO,2022-04-24,198,cfs
CLAFTCCO,2022-04-25,201,cfs
CLAFTCCO,2022-04-26,217,cfs
CLAFTCCO,2022-04-27,261,cfs
CLAFTCCO,2022-04-28,344,cfs
CLAFTCCO,2022-04-29,301,cfs
CLAFTCCO,2022-04-30,292,cfs
CLAFTCCO,2022-05-01,286,cfs
CLAFTCCO,2022-05-02,290,cfs
CLAFTCCO,2022-05-03,208,cfs
CLAFTCCO,2022-05-04,254,cfs
CLAFTCCO,2022-05-05,214,cfs
CLAFTCCO,2022-05-06,224,cfs
CLAFTCCO,2022-05-07,454,cfs
CLAFTCCO,2022-05-08,734,cfs
CLAFTCCO,2022-05-09,672,cfs
CLAFTCCO,2022-05-10,613,cfs
CLAFTCCO,2022-05-11,1110,cfs
CLAFTCCO,2022-05-12,1430,cfs
CLAFTCCO,2022-05-13,1170,cfs
CLAFTCCO,2022-05-14,1300,cfs
CLAFTCCO,2022-05-15,1540,cfs
CLAFTCCO,2022-05-16,1890,cfs
CLAFTCCO,2022-05-17,1740,cfs
CLAFTCCO,2022-05-18,1860,cfs
CLAFTCCO,2022-05-19,2130,cfs
CLAFTCCO,2022-05-20,1940,cfs
CLAFTCCO,2022-05-21,1390,cfs
CLAFTCCO,2022-05-22,1170,cfs
CLAFTCCO,2022-05-23,1120,cfs
CLAFTCCO,2022-05-24,1050,cfs
CLAFTCCO,2022-05-25,970,cfs
CLAFTCCO,2022-05-26,1060,cfs
CLAFTCCO,2022-05-27,1170,cfs
CLAFTCCO,2022-05-28,1230,cfs
CLAFTCCO,2022-05-29,1340,cfs
CLAFTCCO,2022-05-30,1220,cfs
CLAFTCCO,2022-05-31,1050,cfs
CLAFTCCO,2022-06-01,1050,cfs
CLAFTCCO,2022-06-02,1090,cfs
CLAFTCCO,2022-06-03,1170,cfs
CLAFTCCO,2022-06-04,1130,cfs
CLAFTCCO,2022-06-05,1300,cfs
CLAFTCCO,2022-06-06,1580,cfs
CLAFTCCO,2022-06-07,1840,cfs
CLAFTCCO,2022-06-08,1800,cfs
CLAFTCCO,2022-06-09,1800,cfs
CLAFTCCO,2022-06-10,2160,cfs
CLAFTCCO,2022-06-11,2290,cfs
CLAFTCCO,2022-06-12,2630,cfs
CLAFTCCO,2022-06-13,2320,cfs
CLAFTCCO,2022-06-14,2090,cfs
CLAFTCCO,2022-06-15,1600,cfs
CLAFTCCO,2022-06-16,1310,cfs
CLAFTCCO,2022-06-17,1410,cfs
CLAFTCCO,2022-06-18,1760,cfs
CLAFTCCO,2022-06-19,1620,cfs
CLAFTCCO,2022-06-20,1450,cfs
